counter,volume
0,16.4794921875
1,19.2783203125
2,16.5927734375
3,15.4404296875
4,10.826171875
5,13.044921875
6,9.244140625
7,8.6748046875
8,14.291015625
9,13.1171875
10,8.8720703125
11,14.9248046875
12,12.6728515625
13,7.833984375
14,8.3486328125
15,53.3623046875
16,57.9599609375
17,57.0791015625
18,64.1396484375
19,58.9609375
20,88.29296875
21,89.5732421875
22,47.65234375
23,53.1650390625
24,53.212890625
25,47.771484375
26,47.455078125
27,39.099609375
28,38.271484375
29,36.4091796875
30,33.5400390625
31,29.8603515625
32,33.767578125
33,32.513671875
34,36.5654296875
35,23.7900390625
36,27.2587890625
37,23.0341796875
38,18.2978515625
39,18.1171875
40,19.1298828125
41,16.865234375
42,23.3447265625
43,16.30859375
44,15.9189453125
45,11.7958984375
46,11.2236328125
47,13.548828125
48,12.3779296875
49,17.70703125
50,10.7490234375
51,8.4814453125
52,6.75390625
53,9.02734375
54,7.98046875
55,6.48828125
56,8.529296875
57,11.703125
58,6.359375
59,9.806640625
60,7.5166015625
61,17.931640625
62,12.7001953125
