counter,volume
0,17.4501953125
1,16.94775390625
2,15.7234375
3,15.0365234375
4,13.0296875
5,11.44609375
6,11.2162109375
7,11.6744140625
8,10.83984375
9,11.9759765625
10,12.7755859375
11,11.4841796875
12,10.53046875
13,19.428515625
14,28.035546875
15,36.916796875
16,48.1779296875
17,58.300390625
18,65.2865234375
19,71.6091796875
20,69.723828125
21,67.52890625
22,66.379296875
23,58.275
24,49.8513671875
25,48.1408203125
26,45.162109375
27,41.8013671875
28,38.955078125
29,35.4361328125
30,34.3697265625
31,33.2181640625
32,33.2494140625
33,31.2994140625
34,30.7791015625
35,28.632421875
36,25.7892578125
37,22.099609375
38,21.167578125
39,19.0888671875
40,19.1509765625
41,18.753125
42,18.3134765625
43,16.8466796875
44,15.718359375
45,13.7591796875
46,12.973046875
47,13.3306640625
48,13.1212890625
49,12.5728515625
50,11.2138671875
51,10.54375
52,8.5984375
53,7.7462890625
54,7.755859375
55,8.745703125
56,8.212109375
57,8.57734375
58,8.7830078125
59,10.6634765625
60,10.862890625
61,11.98876953125
62,12.716145833333334
